kernel	time(ms)	GFLOPS
k1_nofma_128	24.09195899963379	42.503808013933835
k1_nofma_256	24.11174774169922	84.93784946406676
k1_nofma_384	22.299766540527344	137.7592897404097
k1_nofma_512	22.337913513183594	183.3653800111002
k1_nofma_640	22.498369216918945	227.57204980660202
k1_nofma_768	22.606372833251953	271.7817690311966
k1_nofma_896	26.972532272338867	265.7518370031203
k1_nofma_1024	30.727624893188477	266.6004947820082
k1_fma_128	20.7827091217041	49.27172843556768
k1_fma_256	20.7827091217041	98.54345687113536
k1_fma_384	20.824670791625977	147.51733800446505
k1_fma_512	20.870208740234375	196.26061487844999
k1_fma_640	20.900726318359375	244.96756342398248
k1_fma_768	21.07858657836914	291.4806444519851
k1_fma_896	25.182008743286133	284.64766544531864
k1_fma_1024	28.693199157714844	285.50319380463327
k1_fma_ilp2_128	12.244939804077148	83.62102879910155
k1_fma_ilp2_256	12.266874313354492	166.943010557348
k1_fma_ilp2_384	13.495922088623047	227.60974550894193
k1_fma_ilp2_512	16.16382598876953	253.38913316968885
k1_fma_ilp2_640	20.134925842285156	254.26824812278312
k1_fma_ilp2_768	24.16253089904785	254.26172488586843
k1_fma_ilp2_896	28.171539306640625	254.42490628513363
k1_fma_ilp2_1024	32.1955680847168	254.4286744823268
k1_fma_ilp3_128	9.255647659301758	110.6280729010859
k1_fma_ilp3_256	9.250879287719727	221.37019242251776
k1_fma_ilp3_384	12.419700622558594	247.33312704981893
k1_fma_ilp3_512	16.224384307861328	252.44334566307455
k1_fma_ilp3_640	20.10059356689453	254.70254412944536
k1_fma_ilp3_768	24.056196212768555	255.3856282872807
k1_fma_ilp3_896	25.90012550354004	276.7377033373965
k1_fma_ilp3_1024	27.630329132080078	296.46681633224995
k1_fma_ilp4_128	15.054941177368164	68.01318264459665
k1_fma_ilp4_256	11.542797088623047	177.41531036861468
k1_fma_ilp4_384	12.303590774536133	249.6672270958079
k1_fma_ilp4_512	16.300678253173828	251.2618059437213
k1_fma_ilp4_640	20.272493362426758	252.54280410760188
k1_fma_ilp4_768	24.258136749267578	253.25963191239296
k1_fma_ilp4_896	25.95353126525879	276.16824757848724
k1_fma_ilp4_1024	27.693510055541992	295.79044677150745
k1_fma_ilp6_32	4.242181777954102	60.34244391183409
k1_fma_ilp6_64	4.234075546264648	120.9159417223114
k1_fma_ilp6_96	4.230022430419922	181.54770113683867
k1_fma_ilp6_128	4.229545593261719	242.09089166251724
k1_fma_ilp6_160	8.107662200927734	157.86524503370936
k1_fma_ilp6_192	8.10694694519043	189.4550077093075
k1_fma_ilp6_224	8.103132247924805	221.13489662702938
k1_fma_ilp6_256	8.083820343017578	253.3293469057427
k1_fma_ilp6_288	12.10474967956543	190.32632685409735
k1_fma_ilp6_320	12.092113494873047	211.69468522482433
k1_fma_ilp6_352	12.088775634765625	232.92845041329883
k1_fma_ilp6_384	12.089967727661133	254.0787089920757
k1_fma_ilp8_32	3.6377906799316406	70.36787944181832
k1_fma_ilp8_64	3.6275386810302734	141.13350043026807
k1_fma_ilp8_96	3.621339797973633	212.06263174466994
k1_fma_ilp8_128	3.6163330078125	283.1416414882025
k1_fma_ilp8_160	7.024526596069336	182.2070231346543
k1_fma_ilp8_192	7.032871246337891	218.38899678417465
k1_fma_ilp8_224	6.975412368774414	256.88593265416307
k1_fma_ilp8_256	7.031917572021484	291.2248198340717
k1_fma_ilp8_288	10.41102409362793	221.2897139878942
k1_fma_ilp8_320	10.415315628051758	245.7761484544498
k1_fma_ilp8_352	10.425806045532227	270.0817340839238
k1_fma_ilp8_384	10.4217529296875	294.74920512168666
